"","mouse_uni","shared_gene","human_uni"
"9441","Q8BWM0","PTGES2","Q9H7Z7"
"9442","P53612","RABGGTB","P53611"
"9443","P59644","INPP5J","Q15735"
"9444","P31362","POU2F3","Q9UKI9"
"9445","Q9DAD6","PFN3","P60673"
"9446","P31360","POU3F2","P20265"
"9447","Q9D1E8","AGPAT5","Q9NUQ2"
"9448","P16675","CTSA","P10619"
"9449","Q80SY5","PRPF38B","Q5VTL8"
"9450","P63032","RASD2","Q96D21"
"9451","Q9ER71","RHOJ","Q9H4E5"
"9452","Q8VCD6","REEP2","Q9BRK0"
"9453","Q9D241","RNF186","Q9NXI6"
"9454","Q5SPX3","RNF215","Q9Y6U7"
"9455","Q80UW8","POLR2E","P19388"
"9456","Q9D4G9","RMI1","Q9H9A7"
"9457","Q3UPE3","RMI2","Q96E14"
"9458","Q9DB15","MRPL12","P52815"
"9459","Q60857","SLC6A4","P31645"
"9460","Q9ET26","RNF114","Q9Y508"
"9461","P62071","RRAS2","P62070"
"9462","Q91YQ5","RPN1","P04843"
"9463","Q9EQZ6","RAPGEF4","Q8WZA2"
"9464","Q924A0","TCF7L2","Q9NQB0"
"9465","Q9D3P1","TCHHL1","Q5QJ38"
"9466","Q8QZT1","ACAT1","P24752"
"9467","Q8R3N6","THOC1","Q96FV9"
"9468","Q8BFZ1","TECRL","Q5HYJ1"
"9469","P48428","TBCA","O75347"
"9470","Q9R1A9","TREX2","Q9BQ50"
"9471","Q9D7K2","TEN1","Q86WV5"
"9472","Q6P8M1","TATDN1","Q6P1N9"
"9473","Q6ZQ29","TAOK2","Q9UL54"
"9474","Q4VBD2","TAPT1","Q6NXT6"
"9475","Q5SVR0","TBC1D9B","Q66K14"
"9476","Q9D9D5","TMCO5A","Q8N6Q1"
"9477","P58682","TLR8","Q9NR97"
"9478","Q7TQ69","TMC3","Q7Z5M5"
"9479","Q704Y3","TRPV1","Q8NER1"
"9480","Q9JJX7","TDP2","O95551"
"9481","Q6P073","UBE2J2","Q8N2K1"
"9482","Q5U430","UBR3","Q6ZT12"
"9483","Q91WB7","UBTD1","Q9HAC8"
"9484","Q9EPV8","UBL5","Q9BZL1"
"9485","Q6P3A4","VSIG8","P0DPA2"
"9486","Q8R1C3","VOPP1","Q96AW1"
"9487","Q3U515","VWCE","Q96DN2"
"9488","Q5SPW0","VPS54","Q9P1Q0"
"9489","Q8VDJ3","HDLBP","Q00341"
"9490","Q8R307","VPS18","Q9P253"
"9491","Q924Z6","XPO6","Q96QU8"
"9492","P98156","VLDLR","P98155"
"9493","Q9D1E4","CYSRT1","A8MQ03"
"9494","O55127","CYP26A1","O43174"
"9495","Q8R574","PRPSAP2","O60256"
"9496","Q8C6C9","LEG1","Q6P5S2"
"9497","Q9EQ31","LPAR3","Q9UBY5"
"9498","Q3UH68","LIMCH1","Q9UPQ0"
"9499","Q9Z2E1","MBD2","Q9UBB5"
"9500","P97311","MCM6","Q14566"
"9501","Q9D8U6","MCEMP1","Q8IX19"
"9502","Q8VE52","OGFRL1","Q5TC84"
"9503","Q80YV4","PANK4","Q9NVE7"
"9504","Q9Z185","PADI1","Q9ULC6"
"9505","Q8K4K6","PANK1","Q8TE04"
"9506","Q80SX5","OTOP2","Q7RTS6"
"9507","Q8BXP5","ANKRD33","Q7Z3H0"
"9508","Q80WK2","SLC51B","Q86UW2"
"9509","Q8R000","SLC51A","Q86UW1"
"9510","P28650","ADSS1","Q8N142"
"9511","Q61036","PAK3","O75914"
"9512","Q6P6P7","PARP6","Q2NL67"
"9513","O09046","IL4I1","Q96RQ9"
"9514","Q8BSQ9","PBRM1","Q86U86"
"9515","O88554","PARP2","Q9UGN5"
"9516","Q9R1S3","PIGN","O95427"
"9517","Q9Z280","PLD1","Q13393"
"9518","Q9CQT5","POMP","Q9Y244"
"9519","Q9D6X6","PRSS23","O95084"
"9520","B2RU80","PTPRB","P23467"
"9521","Q9CQJ7","PTTG1","O95997"
"9522","Q8BIP0","DARS2","Q6PI48"
"9523","Q0KL01","UBXN2B","Q14CS0"
"9524","O88935","SYN1","P17600"
"9525","A2AF53","TMEM185A","Q8NFB2"
"9526","Q9CZJ1","UTP11","Q9Y3A2"
"9527","P59532","TAS2R41","P59536"
"9528","Q8R3R5","TMEM185B","Q9H7F4"
"9529","Q922P8","TMEM132A","Q24JP5"
"9530","P68368","TUBA4A","P68366"
"9531","Q9JKX3","TFR2","Q9UP52"
"9532","Q01853","VCP","P55072"
"9533","P48030","TGFA","P01135"
"9534","P62915","GTF2B","Q00403"
"9535","A2A690","TANC2","Q9HCD6"
"9536","Q62264","THRSP","Q92748"
"9537","Q80VL1","TDRKH","Q9Y2W6"
"9538","Q8R3D1","TBC1D13","Q9NVG8"
"9539","Q9DAJ2","TEKT1","Q969V4"
"9540","Q3US16","TCEANC","Q8N8B7"
"9541","Q8BVA2","TMEM222","Q9H0R3"
"9542","D3Z1U7","TMEM233","B4DJY2"
"9543","O70472","TMEM131","Q92545"
"9544","P36371","TAP2","Q03519"
"9545","Q61333","TNFAIP2","Q03169"
"9546","Q8R0J4","TMEM134","Q9H6X4"
"9547","Q8BZB3","TMEM266","Q2M3C6"
"9548","Q5F285","TMEM256","Q8N2U0"
"9549","Q01320","TOP2A","P11388"
"9550","Q3B807","TCERG1L","Q5VWI1"
"9551","Q7TN60","TMC6","Q7Z403"
"9552","Q99NH8","TREM2","Q9NZC2"
"9553","Q9JHB3","TIMP4","Q99727"
"9554","Q8BV79","TRANK1","O15050"
"9555","Q562D6","TRMO","Q9BU70"
"9556","Q62348","TSN","Q15631"
"9557","Q91YR1","TWF1","Q12792"
"9558","Q9Z1Y4","TRIP6","Q15654"
"9559","Q8BGJ9","U2AF1L4","Q8WU68"
"9560","Q62100","PRM3","Q9NNZ6"
"9561","Q8K411","PITRM1","Q5JRX3"
"9562","Q8BKG3","PTK7","Q13308"
"9563","G3XA57","RAB11FIP2","Q7L804"
"9564","Q91V93","RHOBTB2","Q9BYZ6"
"9565","Q9CQE5","RGS10","O43665"
"9566","Q00915","RBP1","P09455"
"9567","Q91YM2","ARHGAP35","Q9NRY4"
"9568","Q78WZ7","POLR1F","Q3B726"
"9569","Q8K202","POLR1E","Q9GZS1"
"9570","Q8VC56","RNF8","O76064"
"9571","Q9R1W3","RNF103","O00237"
"9572","Q9CZ83","MRPL55","Q7Z7F7"
"9573","Q80X95","RRAGA","Q7L523"
"9574","P97469","SNAI2","O43623"
"9575","Q9D1C9","RRP7A","Q9Y3A4"
"9576","Q9Z0P7","SUFU","Q9UMX1"
"9577","Q9JM73","SRF","P11831"
"9578","P58404","STRN4","Q9NRL3"
"9579","P62082","RPS7","P62081"
"9580","P25444","RPS2","P15880"
"9581","Q8K4L3","SVIL","O95425"
"9582","Q8BIJ6","IARS2","Q9NSE4"
"9583","A3KMP2","TTC38","Q5R3I4"
"9584","Q99JX1","TAF11","Q15544"
"9585","Q5H8C4","VPS13A","Q96RL7"
"9586","Q9ERD7","TUBB3","Q13509"
"9587","Q99J36","THUMPD1","Q9NXG2"
"9588","Q9CZB3","THUMPD2","Q9BTF0"
"9589","P38585","TTL","Q8NG68"
"9590","Q14AE4","WFDC3","Q8IUB2"
"9591","Q9JME9","VSTM2B","A6NLU5"
"9592","Q9Z0H1","WDR46","O15213"
"9593","Q9CX97","WDR55","Q9H6Y2"
"9594","Q9D0R9","WDR89","Q96FK6"
"9595","Q3UH66","WNK2","Q9Y3S1"
"9596","Q91XU0","WRNIP1","Q96S55"
"9597","Q07916","POU6F1","Q14863"
"9598","Q5SWZ9","PLD6","Q8N2A8"
"9599","O88685","PSMC3","P17980"
"9600","Q9Z1B3","PLCB1","Q9NQ66"
"9601","P0DJF2","PET117","Q6UWS5"
"9602","Q9D8W5","PSMD12","O00232"
"9603","Q5SUR0","PFAS","O15067"
"9604","Q8JZU6","PXDC1","Q5TGL8"
"9605","Q7TS73","RFLNA","Q6ZTI6"
"9606","Q8R361","RAB11FIP5","Q9BXF6"
"9607","Q91X43","SH3D19","Q5HYK7"
"9608","P27048","SNRPB","P14678"
"9609","P62818","S100A3","P33764"
"9610","Q8JZR6","SLC4A8","Q2Y0W8"
"9611","Q80TS8","SEL1L3","Q68CR1"
"9612","Q9JIP7","SLC15A1","P46059"
"9613","Q9Z0U9","S1PR3","Q99500"
"9614","Q9DBC0","SELENOO","Q9BVL4"
"9615","Q8C811","SLC35E2A","P0CK97"
"9616","Q64124","SCX","Q7RTU7"
"9617","Q9WUM5","SUCLG1","P53597"
"9618","O09116","SPRR3","Q9UBC9"
"9619","Q9CYZ8","SSBP2","P81877"
"9620","G3X912","SPRTN","Q9H040"
"9621","Q8BMA6","SRP68","Q9UHB9"
"9622","Q8CH09","SUGP2","Q8IX01"
"9623","O54781","SRPK2","P78362"
"9624","Q8CH02","SUGP1","Q8IWZ8"
"9625","Q7TNE3","SPAG7","O75391"
"9626","Q8C7E7","STBD1","O95210"
"9627","P30873","SSTR1","P30872"
"9628","P30935","SSTR3","P32745"
"9629","Q8R1X6","SPART","Q8N0X7"
"9630","A0A1B0GSZ0","SPAAR","A0A1B0GVQ0"
"9631","O70401","TSPAN6","O43657"
"9632","O08858","SSTR5","P35346"
"9633","P46978","STT3A","P46977"
"9634","Q9CPW5","SSR2","P43308"
"9635","Q9QYY8","SPAST","Q9UBP0"
"9636","Q7TNL3","STK40","Q8N2I9"
"9637","Q80YS9","STKLD1","Q8NE28"
"9638","Q9D7A6","SRP19","P09132"
"9639","P56677","ST14","Q9Y5Y6"
"9640","Q8R1Q0","STX19","Q8N4C7"
"9641","O08599","STXBP1","P61764"
"9642","Q7TSE6","STK38L","Q9Y2H1"
"9643","Q9WTK7","STK11","Q15831"
"9644","Q8BY98","SOWAHD","A6NJG2"
"9645","Q9D2F5","STPG1","Q5TH74"
"9646","Q5D525","SYCE1L","A8MT33"
"9647","O88196","TTC3","P53804"
"9648","P97357","TAF1A","Q15573"
"9649","Q9WTP9","VAX2","Q9UIW0"
"9650","Q8BG39","SV2B","Q7L1I2"
"9651","Q8BG87","TET3","O43151"
"9652","Q922V4","PLRG1","O43660"
"9653","Q64387","PNOC","Q13519"
"9654","Q8BLJ3","PLCXD3","Q63HM9"
"9655","P48759","PTX3","P26022"
"9656","A6X8Z5","ARHGAP31","Q2M1Z3"
"9657","P35979","RPL12","P30050"
"9658","P61358","RPL27","P61353"
"9659","Q9JJ80","RPF2","Q9H7B2"
"9660","Q91WC0","SETD3","Q86TU7"
"9661","P42225","STAT1","P42224"
"9662","P97351","RPS3A","P61247"
"9663","Q8C0J6","SOWAHC","Q53LP3"
"9664","Q8BWQ1","UGT2A3","Q6UWM9"
"9665","Q8BJS4","SUN2","Q9UH99"
"9666","Q9CQJ0","THEM5","Q8N1Q8"
"9667","Q8R1K1","UBAC2","Q8NBM4"
"9668","Q00899","YY1","P25490"
"9669","Q8BND3","WDR35","Q9P2L0"
"9670","Q924C1","XPO5","Q9HAV4"
"9671","Q8C2E7","WASHC5","Q12768"
"9672","Q8BFU8","SLC17A8","Q8NDX2"
"9673","O35075","VPS26C","O14972"
"9674","Q9DB43","ZFPL1","O95159"
"9675","O88878","ZFAND5","O76080"
"9676","P61237","YPEL3","P61236"
"9677","Q7M760","ZRANB1","Q9UGI0"
"9678","B2KFW1","ZSCAN20","P17040"
"9679","I7HJS4","ZNF683","Q8IZ20"
"9680","Q7TQ40","ZIC5","Q96T25"
"9681","Q9DBX2","PDCL","Q13371"
"9682","P33610","PRIM2","P49643"
"9683","Q52KR3","PRUNE2","Q8WUY3"
"9684","Q9QZ67","PPM1D","O15297"
"9685","P36993","PPM1B","O75688"
"9686","P63330","PPP2CA","P67775"
"9687","O35655","PPEF1","O14829"
"9688","Q68FM6","ELFN2","Q5R3F8"
"9689","Q6DID5","PWWP3A","Q2TAK8"
"9690","P62835","RAP1A","P62834"
"9691","Q8R367","RERG","Q96A58"
"9692","Q9R0Z9","DLC1","Q96QB1"
"9693","Q80YF9","ARHGAP33","O14559"
"9694","O35730","RING1","Q06587"
"9695","P58801","RIPK2","O43353"
"9696","Q8VCI7","SWSAP1","Q6NVH7"
"9697","Q8BU30","IARS1","P41252"
"9698","Q8BML9","QARS1","P47897"
"9699","Q91WQ5","TAF5L","O75529"
"9700","Q8CFK2","BRF1","Q92994"
"9701","Q9D915","TCIM","Q9NR00"
"9702","Q99KJ5","TCF19","Q9Y242"
"9703","Q8BX13","UBE3D","Q7Z6J8"
"9704","Q8BJM7","TYW1","Q9NV66"
"9705","Q80UG8","TTLL4","Q14679"
"9706","O88413","TULP3","O75386"
"9707","Q9D1C1","UBE2C","O00762"
"9708","P27467","WNT3A","P56704"
"9709","Q3U3V8","XRRA1","Q6P2D8"
"9710","Q8CFL8","ZSWIM3","Q96MP5"
"9711","Q80TB7","ZSWIM6","Q9HCJ5"
"9712","Q9CWU2","ZDHHC13","Q8IUH4"
"9713","Q9CPV7","ZDHHC6","Q9H6R6"
"9714","Q8VC90","ZDHHC12","Q96GR4"
"9715","Q5Y5T2","ZDHHC18","Q9NUE0"
"9716","Q99P21","MUTYH","Q9UIF7"
"9717","O88940","MSC","O60682"
"9718","Q5SSH8","CYB5D2","Q8WUJ1"
"9719","Q61391","MME","P08473"
"9720","Q9D6J5","NDUFB8","O95169"
"9721","P60954","NOL4","O94818"
"9722","Q6PFG8","OLIG3","Q7RTU3"
"9723","Q9EQQ9","OGA","O60502"
"9724","O35984","PBX2","P40425"
"9725","Q8CEG0","PANX3","Q96QZ0"
"9726","Q9ER64","OSBPL5","Q9H0X9"
"9727","P10601","PPY","P01298"
"9728","O08675","F2RL2","O00254"
"9729","Q9JK84","PARD6G","Q9BYG4"
"9730","Q8BQS5","ADIPOR2","Q86V24"
"9731","P28653","BGN","P21810"
"9732","Q5BL07","PEX1","O43933"
"9733","P10820","PRF1","P14222"
"9734","Q80VM8","PNMA8A","Q86V59"
"9735","Q80TC5","POGK","Q9P215"
"9736","Q7TQ62","PODN","Q7Z5L7"
"9737","Q3UHE1","PITPNM3","Q9BZ71"
"9738","Q9CZX5","PINX1","Q96BK5"
"9739","Q6PB44","PTPN23","Q9H3S7"
"9740","Q922D4","PPP6R3","Q5H9R7"
"9741","P25425","POU2F1","P14859"
"9742","Q9CXE0","PRDM5","Q9NQX1"
"9743","Q9QZH3","PPIE","Q9UNP9"
"9744","O35593","PSMD14","O00487"
"9745","Q06180","PTPN2","P17706"
"9746","O70300","PSPN","O60542"
"9747","Q80W22","THNSL2","Q86YJ6"
"9748","Q08639","TFDP1","Q14186"
"9749","A2A8T7","TEX38","Q6PEX7"
"9750","Q6P4U0","THSD7B","Q9C0I4"
"9751","Q8CGA2","TBC1D14","Q9P2M4"
"9752","Q8K1H1","TDRD7","Q8NHU6"
"9753","Q9D1E6","TBCB","Q99426"
"9754","Q9JLF7","TLR5","O60602"
"9755","Q9JLT2","TREH","O43280"
"9756","Q2TV84","TRPM1","Q7Z4N2"
"9757","Q8BLH5","PRSS50","Q9UI38"
"9758","Q02053","UBA1","P22314"
"9759","Q9CZY3","UBE2V1","Q13404"
"9760","Q99P25","TSNAXIP1","Q2TAA8"
"9761","Q8BWP5","TTPA","P49638"
"9762","Q9DAJ4","WDR83","Q9BRX9"
"9763","P59016","VPS33B","Q9H267"
"9764","Q8VHI6","WASF3","Q9UPY6"
"9765","Q91YD9","WASL","O00401"
"9766","A2AIV2","VIRMA","Q69YN4"
"9767","Q923D5","WBP11","Q9Y2W2"
"9768","Q3UDR8","YIPF3","Q9GZM5"
"9769","A2AKY4","ZNF804A","Q7Z570"
"9770","Q9QXT9","ZNF354B","Q96LW1"
"9771","Q8BGJ0","ZDHHC15","Q96MV8"
"9772","Q9ESG8","ZDHHC16","Q969W1"
"9773","Q9JLT4","TXNRD2","Q9NNW7"
"9774","P55144","TYRO3","Q06418"
"9775","Q3TCN2","PLBD2","Q8NHP8"
"9776","Q8C0V1","TERB1","Q8NA31"
"9777","Q8K4P0","WDR33","Q9C0J8"
"9778","P68369","TUBA1A","Q71U36"
"9779","Q8BZH1","TGM4","P49221"
"9780","P80316","CCT5","P48643"
"9781","Q5SSK3","TEFM","Q96QE5"
"9782","Q66JZ4","TCAIM","Q8N3R3"
"9783","Q9Z1A9","TBC1D8","O95759"
"9784","P48301","TEAD2","Q15562"
"9785","Q5DTT3","TASOR2","Q5VWN6"
"9786","Q8BYC6","TAOK3","Q9H2K8"
"9787","Q9JKE2","TREM1","Q9NP99"
"9788","Q9DAM5","SLC25A19","Q9HC21"
"9789","Q9D4D4","TKTL2","Q9H0I9"
"9790","Q6IRU2","TPM4","P67936"
"9791","Q9WVB2","TLE2","Q04725"
"9792","Q8BYU6","TOR1AIP2","Q8NFQ8"
"9793","Q8BYU6","TOR1AIP2","Q9H496"
"9794","Q9DA44","TSACC","Q96A04"
"9795","Q9DA17","TSGA13","Q96PP4"
"9796","Q6ZQ93","USP34","Q70CQ2"
"9797","Q6ZWZ2","UBE2R2","Q712K3"
"9798","P52482","UBE2E1","P51965"
"9799","P22725","WNT5A","P41221"
"9800","Q9DB42","ZNF593","O00488"
"9801","Q9WVC5","TRPC7","Q9HCX4"
"9802","Q8BY46","ZNF574","Q6ZN55"
"9803","Q6GQR8","ZNF329","Q86UD4"
"9804","P42682","TXK","P42681"
"9805","Q9QX29","TRPC5","Q9UL62"
"9806","Q3TW96","UAP1L1","Q3KQV9"
"9807","Q9QZC1","TRPC3","Q13507"
"9808","Q8BQH4","UBALD2","Q8IYN6"
"9809","Q8BH48","UBAP1","Q9NZ09"
"9810","Q05BQ1","IGSF9","Q9P2J2"
"9811","Q9CZP0","UFSP1","Q6NVU6"
"9812","Q8BNV1","TRMT2A","Q8IZ69"
"9813","Q8VBT1","TXLNB","Q8N3L3"
"9814","Q9JKB1","UCHL3","P15374"
"9815","Q9D883","U2AF1","Q01081"
"9816","Q3U1V6","UEVLD","Q8IX04"
"9817","Q9ESH5","WFDC1","Q9HC57"
"9818","P15920","ATP6V0A2","Q9Y487"
"9819","P51612","XPC","Q01831"
"9820","Q5GH66","XKR5","Q6UX68"
"9821","Q8BP01","VMAC","Q2NL98"
"9822","O09053","WRN","Q14191"
"9823","Q64527","WNT8A","Q9H1J5"
"9824","Q9JJN2","ZFHX4","Q86UP3"
"9825","Q8BHZ4","ZNF592","Q92610"
"9826","Q6NZF1","ZC3H11A","O75152"
"9827","Q62522","ZPBP","Q9BS86"
"9828","O70481","UBR1","Q8IWV7"
"9829","P83877","TXNL4A","P83876"
"9830","Q8BHN1","TXLNG","Q9NUQ3"
"9831","Q9QYS1","WNT16","Q9UBV4"
"9832","Q8VCZ7","ZBTB7C","A1YPR0"
"9833","Q9CX48","ZCCHC10","Q8TBK6"
"9834","Q8R1J3","ZCCHC9","Q8N567"
"9835","Q5Y5T5","ZDHHC8","Q9ULC8"
"9836","Q8C0C0","ZHX2","Q9Y6X8"
"9837","Q3USZ2","UBTFL1","P0CB47"
"9838","Q5NC05","TTF2","Q9UNY4"
"9839","Q924A4","UCN3","Q969E3"
"9840","Q14BU0","UCMA","Q8WVF2"
"9841","B9EJX3","ATP6V1FNB","A0A1B0GUX0"
"9842","Q91ZD4","VANGL2","Q9ULK5"
"9843","Q80Z96","VANGL1","Q8TAA9"
"9844","Q8BH57","WDR48","Q8TAF3"
"9845","Q3U3T8","WDR62","O43379"
"9846","Q9D1C8","VPS28","Q9UK41"
"9847","Q7TQJ8","WTIP","A6NIX2"
"9848","Q8R3E3","WIPI1","Q5MNZ9"
"9849","Q3TIV5","ZC3H15","Q8WU90"
"9850","Q8VIG0","ZCCHC14","Q8WYQ9"
"9851","P22227","ZFP42","Q96MM3"
"9852","Q0VGT4","ZGRF1","Q86YA3"
"9853","A2A761","ZFP69","Q49AA0"
"9854","P46684","ZIC1","Q15915"
"9855","Q3URR7","ZSCAN10","Q96SZ4"
"9856","E9Q6W4","ZNF296","Q8WUU4"
"9857","Q91V51","TTLL1","O95922"
"9858","Q9JIZ9","PLSCR3","Q9NRY6"
"9859","Q00286","POU1F1","P28069"
"9860","Q9D711","PIR","O00625"
"9861","Q6IEE6","TMEM132E","Q6IEE7"
"9862","Q9D9J2","TEX33","O43247"
"9863","Q8CEG8","USP27X","A6NNY8"
"9864","Q91W36","USP3","Q9Y6I4"
"9865","Q7TS63","ZFAT","Q9P243"
"9866","D3Z3C6","ZFAND4","Q86XD8"
"9867","Q0GGX2","ZNF541","Q9H0D2"
"9868","B2RXZ1","PNLDC1","Q8NA58"
"9869","Q8BFY7","PIMREG","Q9BSJ6"
"9870","Q61038","GPR65","Q8IYL9"
"9871","Q6VMN6","PRLHR","P49683"
"9872","Q0EEE2","PTCHD3","Q3KNS1"
"9873","Q9DA32","SUN5","Q8TC36"
"9874","Q8K0H5","TAF10","Q12962"
"9875","P50516","ATP6V1A","P38606"
"9876","P59529","TAS2R16","Q9NYV7"
"9877","Q8VC04","TMEM106A","Q96A25"
"9878","P62500","TSC22D1","Q15714"
"9879","Q80VP8","TMEM106C","Q9BVX2"
"9880","Q9JM61","THSD1","Q9NS62"
"9881","Q8VEA7","TCTA","P57738"
"9882","P47226","TES","Q9UGI8"
"9883","Q8VE09","TTC39C","Q8N584"
"9884","Q9CWV7","ZSWIM1","Q9BR11"
"9885","Q00993","AXL","P30530"
"9886","E9PZ19","IGSF9B","Q9UPX0"
"9887","Q8BG71","TRMT12","Q53H54"
"9888","Q6A4J8","USP7","Q93009"
"9889","P61082","UBE2M","P61081"
"9890","Q8C4B4","UNC119B","A6NIH7"
"9891","E9Q349","WDR25","Q64LD2"
"9892","P46938","YAP1","P46937"
"9893","Q8BJ05","ZC3H14","Q6PJT7"
"9894","B2RRF6","ZNF518A","Q6AHZ1"
"9895","E9Q8G5","OBI1","Q5W0B1"
"9896","Q69ZB8","ZCCHC2","Q9C0B9"
"9897","P08043","ZFP2","Q6ZN57"
"9898","Q4VA45","ZFTA","C9JLR9"
"9899","Q5SS00","ZDBF2","Q9HCK1"
"9900","E9Q784","ZC3H13","Q5T200"
"9901","Q80ZJ6","ZER1","Q7Z7L7"
"9902","Q9JII7","ZFAND2A","Q8N6M9"
"9903","Q9DCK4","ZNF414","Q96IQ9"
"9904","Q5RJ54","ZSCAN26","Q16670"
"9905","Q6DI92","ZSWIM9","Q86XI8"
"9906","Q8CE64","ZNF276","Q8N554"
"9907","Q9EQB9","ZNF287","Q9HBT7"
"9908","P56581","TDG","Q13569"
"9909","Q3UB74","TBRG1","Q3YBR2"
"9910","B6A8R8","TARM1","B6A8C7"
"9911","Q9WUN2","TBK1","Q9UHD2"
"9912","Q9QXY7","XK","P51811"
"9913","Q8K0F1","TBC1D23","Q9NUY8"
"9914","Q9WTS6","TENM3","Q9P273"
"9915","Q9WUH1","TMEM115","Q12893"
"9916","Q8C5W3","TBCEL","Q5QJ74"
"9917","O35714","TNFRSF18","Q9Y5U5"
"9918","Q3UHK8","TNRC6A","Q8NDV7"
"9919","Q8BWC0","TPCN2","Q8NHX9"
"9920","P63002","TLE5","Q08117"
"9921","Q9WUH5","TRIM10","Q9UDY6"
"9922","Q8R2Q0","TRIM29","Q14134"
"9923","P62996","TRA2B","P62995"
"9924","Q7TNM2","TRIM46","Q7Z4K8"
"9925","Q60596","XRCC1","P18887"
"9926","P27641","XRCC5","P13010"
"9927","P21845","TPSB2","P20231"
"9928","Q8QZZ7","TPRKB","Q9Y3C4"
"9929","P12656","TSHB","P01222"
"9930","Q5DTH5","TSHZ1","Q6ZSZ6"
"9931","Q6NY15","TSGA10","Q9BZW7"
"9932","Q3U269","TSTD2","Q5T7W7"
"9933","Q925K9","TSSK6","Q9BXA6"
"9934","Q8BWR4","USP40","Q9NVE5"
"9935","Q80XP9","WNK3","Q9BYP7"
"9936","Q7TQG0","ZBTB5","O15062"
"9937","Q5D1E7","ZC3H12A","Q5D1E8"
"9938","Q8CHP0","ZC3H3","Q8IXZ2"
"9939","Q5Y5T1","ZDHHC20","Q5W0Z9"
"9940","P10761","ZP3","P21754"
"9941","Q9CQG3","ZMYND19","Q96E35"
"9942","Q0KL02","TRIO","O75962"
"9943","Q8CC88","VWA8","A3KMH1"
"9944","Q402B2","WDR93","Q6P2C0"
"9945","Q3UR50","VWA5B2","Q8N398"
"9946","Q8CIZ8","VWF","P04275"
"9947","Q8R0J7","VPS37B","Q9H9H4"
"9948","Q8C0T0","XKR8","Q9H6D3"
"9949","Q60989","XIAP","P98170"
"9950","P47993","XCL1","P47992"
"9951","Q8BSA9","TYW3","Q6IPR3"
"9952","Q64727","VCL","P18206"
"9953","Q9R1Z8","SORBS3","O60504"
"9954","Q91V09","WDR13","Q9H1Z4"
"9955","P61965","WDR5","P61964"
"9956","Q9QXY1","TJP3","O95049"
"9957","Q71FD5","ZNRF2","Q8NHG8"
"9958","Q9ERQ3","ZNF704","Q6ZNC4"
"9959","Q9ERU3","ZNF22","P17026"
"9960","Q91YN5","UAP1","Q16222"
"9961","B2RX14","TUT4","Q5TAX3"
"9962","Q8VDW4","UBE2W","Q96B02"
"9963","Q710D3","UNC93A","Q86WB7"
"9964","Q6P3B2","UBALD1","Q8TB05"
"9965","Q9JIL5","TULP4","Q9NRJ4"
"9966","Q8R5M2","WNT9A","O14904"
"9967","Q91WL8","WWOX","Q9NZC7"
"9968","Q04736","YES1","P07947"
"9969","Q6IR42","ZCWPW1","Q9H0M4"
"9970","P07147","TYRP1","P17643"
"9971","Q6PGH0","UBTD2","Q8WUN7"
"9972","A2RSX7","TYW5","A2RUC4"
"9973","Q99KD5","UNC45A","Q9H3U1"
"9974","Q91V83","TTI1","O43156"
"9975","Q8CGY6","UNC45B","Q8IWX7"
"9976","Q8BW49","TTC12","Q9H892"
"9977","Q8CD92","TTC27","Q6P3X3"
"9978","Q8BLN6","UNC80","Q8N2C7"
"9979","Q6ZQM8","UGT1A7","Q9HAW7"
"9980","Q9CR09","UFC1","Q9Y3C8"
"9981","Q8VBW8","TTC36","A6NLP5"
"9982","P70398","USP9X","Q93008"
"9983","Q9CX11","UTP23","Q9BRU9"
"9984","O88939","ZBTB7A","O95365"
"9985","Q80WQ2","VAC14","Q08AM6"
"9986","P49766","VEGFB","P49765"
"9987","Q6VNB8","WDFY3","Q8IZQ1"
"9988","Q5FWH2","UNKL","Q9H9P5"
"9989","Q9Z0K8","VNN1","O95497"
"9990","Q9R0D8","WDR54","Q9H977"
"9991","Q920Q4","VPS16","Q9H269"
"9992","Q8VE80","THOC3","Q96J01"
"9993","B1AY15","USP51","Q70EK9"
"9994","Q8C878","UBA3","Q8TBC4"
"9995","Q91V10","VSX1","Q9NZR4"
"9996","Q7TQN3","WFIKKN2","Q8TEU8"
"9997","Q8C190","VPS9D1","Q9Y2B5"
"9998","O89116","VTI1A","Q96AJ9"
"9999","Q3UVV9","VWA3A","A6NCI4"
"10000","Q6P5F9","XPO1","O14980"
"10001","Q9D2N9","VPS33A","Q96AX1"
"10002","Q8VHI5","VIT","Q6UXI7"
"10003","P35918","KDR","P35968"
"10004","Q8BLC3","LYPD1","Q8N2G4"
"10005","Q8R3N2","MFSD6L","Q8IWD5"
"10006","P09542","MYL3","P08590"
"10007","Q711T7","NADSYN1","Q6IA69"
"10008","Q9Z2U0","PSMA7","O14818"
"10009","P70268","PKN1","Q16512"
"10010","O35448","PPT2","Q9UMR5"
"10011","Q3UZD5","PRDM6","Q9NQX0"
"10012","Q3UKC1","TAX1BP1","Q86VP1"
"10013","P83887","TUBG1","P23258"
"10014","O70146","TESK1","Q15569"
"10015","P70323","TBX1","O43435"
"10016","Q8BUH1","TXNL4B","Q9NX01"
"10017","Q5NBU8","XAF1","Q6GPH4"
"10018","P48614","WNT10B","O00744"
"10019","Q9JMB1","THEG","Q9P2T0"
"10020","Q8BQJ6","TRMT2B","Q96GJ1"
